time,H_0_7_4,H_2_74
1.000000000000,45.02055177,45.09628550
31.41666666667,45.01642866,45.07335546
61.83333333333,45.01438802,45.06418622
92.25000000000,45.01296608,45.05748035
122.6666666667,45.01186050,45.05215908
153.0833333333,45.01094694,45.04770959
183.5000000000,45.01016533,45.04387777
213.9166666667,45.00948337,45.04052250
244.3333333333,45.00888200,45.03755793
274.7500000000,45.00834865,45.03492585
305.1666666667,45.00787418,45.03258282
335.5833333333,45.00745137,45.03049414
366.0000000000,45.00707426,45.02863072
